1990	49	737
1990	50	768
1990	51	799
1990	52	830
1990	53	861
1990	54	892
1990	55	923
1990	56	954
1990	57	985
1990	58	1016
1990	59	1047
1991	27	56
1991	28	87
1991	29	118
1991	30	149
1991	31	180
1991	32	211
1991	33	242
1991	34	273
1991	35	304
1991	36	335
1991	37	366
1991	38	397
1991	39	428
1991	40	459
1991	41	490
1991	42	521
1991	43	552
1991	44	583
1991	45	614
1991	46	645
1991	47	676
1991	48	707
1991	49	738
1991	50	769
1991	51	800
1991	52	831
1991	53	862
1991	54	893
1991	55	924
1991	56	955
1991	57	986
1991	58	1017
1991	59	1048
